Mint_Scheme,Unnamed: 0,Amfi_Code,NAV,S_NAME,FH
HDFC Flexi Cap Fund Reg (G),47,101762,1319.197,HDFC Flexi Cap Fund,HDFC
SBI Contra Fund Reg (G),48,102414,275.6477,SBI CONTRA FUND,SBI
HDFC Dividend Yield Fund Reg (G),49,148610,18.227,HDFC Dividend Yield Fund,HDFC
SBI Equity Hybrid Fund Reg (G),50,102885,223.1972,SBI EQUITY HYBRID FUND,SBI
Canara Robeco Emerging equities Reg (G),51,102920,179.05,CANARA ROBECO EMERGING EQUITIES,CANARA
ICICI Pru Short Term Fund (G),52,101758,52.735,ICICI Prudential Short Term Fund,ICICI
ICICI Pru Global Advantage Fund (G),53,147647,12.5499,ICICI Prudential Global Advantage Fund (FOF),ICICI
SBI Magnum Medium Duration Fund Reg (G),54,102053,44.7684,SBI MAGNUM MEDIUM DURATION FUND,SBI
SBI Dynamic Bond Fund Reg (G),55,102205,31.1402,SBI Dynamic Bond Fund,SBI
HDFC Medium Term Debt Fund (G),56,101989,49.238,HDFC Medium Term Debt Fund,HDFC
HDFC Multi Asset Fund (G),57,103131,54.683,HDFC Multi,HDFC
ICICI Pru All Seasons Bond Fund (G),58,112096,32.2017,ICICI Prudential All Seasons Bond Fund,ICICI
ICICI Pru Multi Asset Fund (G),59,101144,549.7823,ICICI Prudential Multi,ICICI
HDFC Multi Cap Fund Reg (G),60,149366,13.583,HDFC Multi Cap Fund,HDFC
ICICI Pru Thematic Advantage Fund (FOF) (G),61,102135,156.7394,ICICI Prudential Thematic Advantage Fund (FOF),ICICI
HDFC Short Term Debt Fund (G),62,113047,27.9179,HDFC Short Term  Debt Fund,HDFC
ICICI Pru Credit Risk Fund Reg (G),63,114239,27.6041,ICICI Prudential Credit Risk Fund,ICICI
Quant Liquid Fund (G),64,103225,36.9291,quant Liquid Fund,quant
SBI Small Cap Fund Reg (G),65,125494,131.9864,SBI Small Cap Fund,SBI
ICICI Pru Quant Fund Reg (G),66,148598,16.31,ICICI Prudential Quant Fund Growth,ICICI
Axis Regular Saver Fund (G),67,112924,25.7992,Axis Regular Saver Fund,Axis
Canara Robeco Equity Hybrid Fund Reg (G),68,106166,272.32,CANARA ROBECO EQUITY HYBRID FUND,CANARA
Nippon India Small Cap Fund (G),69,113177,122.9365,Nippon India Small Cap Fund,Nippon
Axis Nifty 50 Index Fund Reg (G),70,149371,11.3146,Axis Nifty 50 Index Fund,Axis
Axis Nifty 100 Index Fund (G),71,147665,16.2817,Axis Nifty 100 Index Fund,Axis
Kotak Smallcap Fund (G),72,102875,194.716,Kotak,Kotak
Axis Bluechip Fund (G),73,112277,45.94,Axis Bluechip Fund,Axis
Axis Midcap Fund (G),74,114564,77.13,Axis Midcap Fund,Axis
ICICI Pru Large & Mid Cap Fund Reg (G),75,100349,674.05,ICICI Prudential Large & Mid Cap Fund,ICICI
SBI Focused Equity Fund Reg (G),76,102756,261.3225,SBI FOCUSED EQUITY FUND,SBI
ICICI Pru Bluechip Fund Reg (G),77,108466,78.38,ICICI Prudential Bluechip Fund,ICICI
HDFC Focused 30 Fund (G),78,102760,153.312,HDFC Focused 30 Fund,HDFC
Motilal Oswal Midcap Fund Reg (G),79,127039,63.0825,Motilal Oswal Midcap Fund,Motilal
Mirae Asset Savings Fund Regular Savings (G),80,107705,2003.2166,Mirae Asset Savings Fund,Mirae
ICICI Pru PSU Equity Fund Reg (G),81,150538,12.97,ICICI Prudential PSU Equity Fund,ICICI
Axis Gold Fund (G),82,115897,18.3347,Axis Gold Fund,Axis
SBI Nifty Smallcap 250 Index Fund Reg (G),83,150676,13.2883,SBI Nifty Smallcap 250 Index Fund,SBI
Quant Tax Plan (G),84,100175,273.3384,quant Tax Plan,quant
Nippon India Multi Cap Fund (G),85,101161,206.7311,Nippon India Multi Cap Fund,Nippon
Motilal Oswal Nasdaq 100 FOF (G),86,145551,25.2796,Motilal Oswal Nasdaq 100 Fund of Fund,Motilal
SBI Dividend Yield Fund Reg (G),87,151476,11.3516,SBI Dividend Yield Fund,SBI
Mirae Asset Banking and Financial Services Fund Reg (G),88,148621,15.142,Mirae Asset Banking and Financial Services Fund Regular Growth,Mirae
Axis Multi Cap Fund Reg (G),89,149382,11.91,Axis Multicap Fund,Axis
Axis Equity Hybrid Fund (G),90,144393,15.78,Axis Equity Hybrid Fund,Axis
Canara Robeco Consumer Trends Fund Reg.plan (G),91,112152,80.17,CANARA ROBECO CONSUMER TRENDS FUND,CANARA
HDFC Hybrid Debt Fund (G),92,102147,68.4349,HDFC Hybrid Debt Fund,HDFC
Kotak Low Duration Fund Std (G),93,133805,2968.6807,Kotak Low Duration Fund,Kotak
ICICI Pru Nifty 50 Index Fund Reg (G),94,121366,211.2305,ICICI Prudential Nifty 50 ETF,ICICI
Kotak Emerging Equity (G),95,104908,90.864,Kotak Emerging Equity Scheme,Kotak
